Visitor ID,Date,Response,Account ID (All Apps)
_PENDO_T_M_15096328397420899699,2022-02-16 18:09:54,Other,GTRG
_PENDO_T_M_3608401541800143210,2022-04-18 9:18:33,Physician (MD/DO),GTRG
_PENDO_T_M_272788590122577942,2022-03-17 16:12:19,Other,GTRG
_PENDO_T_M_11614067814258079044,2022-02-23 17:49:17,Physician (MD/DO),GTRG
_PENDO_T_M_11706910468122835120,2022-02-23 11:26:52,Other,GTRG
_PENDO_T_M_12030055300896636855,2022-02-23 11:31:49,"Physician-in-training (MD/DO, e.g. resident or fellow)",GTRG
_PENDO_T_M_12889434737670659982,2022-02-23 15:23:49,Other,GTRG
_PENDO_T_M_13101164768276549373,2022-02-23 14:35:07,"Nurse (LPN, RN, CNS)",GTRG
_PENDO_T_M_1403005341971003552,2022-02-23 16:49:48,"Nurse (LPN, RN, CNS)",GTRG
_PENDO_T_M_14425931129827297481,2022-02-23 10:39:40,Physician (MD/DO),GTRG
_PENDO_T_M_6815073770269244981,2022-02-23 15:47:58,Advanced practice professional (nurse practitioner or physician assistant),GTRG
_PENDO_T_M_7180531565745778366,2022-02-23 12:52:01,Physician (MD/DO),GTRG
_PENDO_T_M_8235383194993442190,2022-02-23 13:53:53,"Nurse (LPN, RN, CNS)",GTRG
_PENDO_T_M_14236668420820096944,2022-05-28 2:19:27,Advanced practice professional (nurse practitioner or physician assistant),GTRG
_PENDO_T_M_2854025562683557123,2022-03-01 11:24:24,"Nurse (LPN, RN, CNS)",GTRG
_PENDO_T_M_4212399650546877166,2022-03-01 12:16:51,Physician (MD/DO),GTRG
_PENDO_T_M_747236386555137649,2022-03-01 11:45:04,"Nurse (LPN, RN, CNS)",GTRG
_PENDO_T_M_8596586170355582185,2022-03-01 15:28:17,"Nurse (LPN, RN, CNS)",GTRG
_PENDO_T_M_8848786280927904591,2022-03-15 20:10:11,"Nurse (LPN, RN, CNS)",GTRG
_PENDO_T_M_10773563293135961459,2022-04-01 13:08:21,"Nurse (LPN, RN, CNS)",GTRG
_PENDO_T_M_9144245499679018592,2022-04-16 9:57:17,"Nurse (LPN, RN, CNS)",GTRG
_PENDO_T_M_1014893813612210608,2022-03-03 8:10:46,Advanced practice professional (nurse practitioner or physician assistant),GTRG
_PENDO_T_M_6694717028049973606,2022-03-03 11:15:13,"Nurse (LPN, RN, CNS)",GTRG
_PENDO_T_M_4270743929142227866,2022-06-11 9:30:08,Physician (MD/DO),GTRG
_PENDO_T_M_2138485560983232080,2022-03-07 10:20:39,"Nurse (LPN, RN, CNS)",GTRG
_PENDO_T_M_2271073718011380319,2022-03-07 11:35:54,Physician (MD/DO),GTRG
_PENDO_T_M_8624639101718983897,2022-03-07 8:19:48,"Nurse (LPN, RN, CNS)",GTRG
