GA TB Guide Mobile App Beta User Feedback_June 2, 2023_11.52
ResponseId,Q1_1,Q1_2,Q2,Q7
Response ID,Please answer the following: - How would you rate the Georgia TB Reference Guide app overall?,Please answer the following: - How would you rate the Georgia TB Reference Guide app in comparison to the physical booklet?,What specific positive feedback do you have?,What specific negative feedback do you have?
"{""ImportId"":""_recordId""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID7_TEXT""}"
R_USERR4ss3EbAfRf,4,3,,
R_9Fv85s9au6VG5Tb,5 - Extremely useful,5 - Extremely useful,Easily accessible electronically.  Shared easily with other users.,Connectivity and internet problems.
R_22KqRfixSeVBu8U,5 - Extremely useful,5 - Extremely useful,Having the app on my phone makes it available at all times. I now have one less item to carry. I can make notes and save within the app.,
R_10A6VlOfGzAkX2I,5 - Extremely useful,4,I can look up information quickly when working out of my office with just a few clicks on my phone.,I don't have any negative feedback at this time. I have not had any diffculty.
R_111wdMkoAsBb9rG,5 - Extremely useful,5 - Extremely useful,It is easy to navigate!,I do not have any negative feedback.
R_YPRyW0n2IEvup4l,5 - Extremely useful,5 - Extremely useful,This TB conference has been most informative! I've epecially  enjoyed the very detailed education about TB-MDR-a topic most helpful to share with our Infection Prevention Team!,No negative feedback! Wish I could meet the presenters in person! It has been a pleasure!
R_2t9hwZceSUx1WZG,5 - Extremely useful,4,"I LIKE THE QUICK REFERENCE ON MY PHONE ,Everything I need is conveniently there.",for me only small print have to get my readers 
R_3JwHA5MsxMI5djS,5 - Extremely useful,5 - Extremely useful,Excellent hands on guideline ,None
R_Oj6rhG3jJe8CtvH,4,4, I love it,none
R_2aFDL5Wnxdd2iMk,5 - Extremely useful,5 - Extremely useful,It's very easy to use!,None
R_2y8AVLPBtfHKaFy,5 - Extremely useful,5 - Extremely useful,The set up allows very easy navigation for diagnostic and treatment purposes ,Not really a negative but more of a question- how frequently will updates be made ?
R_PSZQadIentdO1Fv,3,3,Having it on my phone will be helpful when answering phone calls with questions,"The ""search"" or magnifying glass is not as easy to use as the paper/PDF form. The results are very jumbled, difficult to read and look through"
R_22AgkqaO8ITsfAa,4,5 - Extremely useful,Easy to navigate and comprehensive. Liked the listing of district coordinator contact information. ,"Text sections were lacking in visual appeal, lots of typical script text. Diagnostic section could be enhanced, some visuals and/or figures could be nice. Would include some reference to WGS provided now for all TB isolates by CDC and availability of MDRD (rapid sequencing for determination of resistance mutations) through CDC. Also need to include updated guidance on new 4 month regimen for DS TB and BPAL regimen for MDR TB."
R_6JAKIvHC8Q0bacV,5 - Extremely useful,5 - Extremely useful,"Great app, very useful to use. ",none 
R_tMrLNTFoX1gcGqZ,5 - Extremely useful,5 - Extremely useful,App has a search features which is extremely helpful. ,none
R_3j711wrUAp9R8Yq,5 - Extremely useful,5 - Extremely useful,"The interface is easy to use, with the most-accessed chapters and charts on the front page. ","Search results can be challenging to sift through, but I don't tend to use search as my go-to method to find information as the main chapters are the most useful"
R_28AL7yBEjfHiv0e,4,4,Convenience: I don't have to worry about having the physical booklet with me and can look things up whenever,"On the Dosages for LTBI treatment (Chart 5), the layout of the Rifapentine dosages for the Isoniazid and Rifapentine regimen is a little misleading. It lists the weight range, but then the recommended dosage for that weight is on the next line, right next to the next weight range. If you're not paying attention, it looks like 300mg is the recommended dosage for 14.1-25.0kg"
R_300FhEUbQGQgaqX,4,5 - Extremely useful,Makes searching easier,None
R_3npeZyqPrcQbbvz,4,4,I think that it will drive more use from providers who are new to evaluating TB,no negative feed back on the app. The only concern is the providers who already use the booklet will not convert to the app and by doing so may limit themselves to future real time guideline updates  
