"District 7, 16 counties",,"P9"
"17 years in TB",,"P9"
"Checks 1 time/week",,"P9"
"District 2, 13 counties",,"P8"
"looks at guidelines for extrapulmonary TB (changing treatment lengths, add medications, etc)",,"DIM, P8"
"looks at dosage charts",,"DIM, P8"
"Checks book with contract physician",,"P8"
"10-13 cases/year",,"P7"
"Looks up dosages",,"P7"
"Writes on the guide  (notes, highlights)",,"P7"
"10 yrs tb",,"P7"
"10 yrs on tb",,"P5"
"uses to educate provider and point to something tangible",,"P5"
"Does outreach up and down",,"P5"
"outreach in fairs and with each other",,"P5"
"20 yrs in tb",,"P6"
"Keeps guide at home as well, checks to verify doctor info, helpful to show MDs and interns",,"P6"
"No training of individuals",,"P6"
"20 yrs in tb",,"P3"
"Updates the guide, TB reports, contact investigations",,"P3"
"keeps multiple copies",,"P3, DIM"
"15 yrs in TB",,"P4"
"Works on contact tracing, case review",,"P4"
"guide is part of onboarding of new personel",,"P4"
"ID fellow",,"P2"
"keeps it in lab coat",,"P2"
"had to use it for concern about drug resistance and multi-site disease",,"P2"
"ID fellow",,"P1"
"Fellows not necessarily aware of guide for more dph",,"P1"
"Might call friend or Dr. Ray with questions",,"P1"
"Checks if offices have new book on site, tells to get rid of old one",,"DIM, P9"
"She keeps the old one",,"P9"
"Hasn't had time to compare both guides",,"P9"
"Pediatric patients always dosage dependent",,"P8"
"Checks a few times a month",,"P8"
"Checks guide before Google",,"P8"
"Hard to convert pounds to kilos for weight dosages",,"DI, P8"
"Many changes in latest years",,"P7, DIM"
"Writes new changes in guide",,"P7"
"untrained, learnt by using",,"P7"
"county protocols match the guide so uses the gudie",,"P7"
"Gives them a physical copy with a label of what to look for, includes her phone number inside",,"P5, DIM"
"Will include 4 numbers that are more adept at certain things",,"P5"
"unintentionally trained, learn implicitly",,"P5"
"Does outreach up and down",,"P5"
"Book knows what to do in different situations",,"P6"
"Some information like CD count checks the book for treatments",,"P6"
"Uses the page with abreviations to know what they mean",,"P6, DIM"
"flags, highlights things",,"P3, DIM"
"easier than pulling up the nurse protocols, easy to share, train, fits in pocket",,"P3"
"mainly use it for references from doctors or nurses to call",,"P3"
"Keeps copy on drawer",,"P4"
"some people take it with them on the field",,"P4"
"uses the guide to verify information she gives is correct",,"P4"
"checks treatment options",,"P2"
"Susan Ray walked through guide but mostly looked in residency",,"P2"
"1-2/month check guide in hospital",,"P2"
"Goes to UTD to check info",,"P1"
"looks at UTD on phone or computer, already logged in, types disease name, then picks headline, uses side nav bar",,"P1"
"If used on the fly will remember what read",,"P1"
"Has hoping they add the training centers information, likes to give info if people need additional websites, for healthcare workers mainly",,"DI, P9"
"Not trained, just give you a copy and browse",,"P9"
"Needed clarification about between 5 to 7 days a week meds",,"P9"
"Likes it because specific for Georgia",,"P8"
"1 year old in TB",,"P8"
"Learn stuff through CDC modules, no guide training",,"P8"
"No follow up to verify you did modules",,"P8"
"Wants to make sure she's done research before reaching out to state office",,"P7"
"Keeps it in the office",,"P7"
"Not bad idea to have on the phone",,"P7"
"will write reminders, dosages, ppd readings",,"P7"
"When new guidelines, checks if made it into book",,"P5, DIM"
"Check how content was portrayed in the book",,"P5"
"Likes font, size, and weight of book, med students open to receiving info in this size",,"P5"
"Some people won't change to new version because old had a lot of notes",,"P5, DIM"
"Wish there was a way to easily compare previous guide with actual",,"P6, DI"
"County protocols are mirrored with state one",,"P6"
"contact person changes quickly , she uses a list that state sends yearly",,"P6, DIM"
"People ask about drug regimen, # doeses, with LTBI side effects, reasons for this or that, chlidren recommended dosage",,"P3"
"questions about tb skin test or others",,"P3"
"with new book checks version to see if protocols are inside",,"P3, DIM"
"uses 2-3 times/week",,"P4"
"She recalls most of the information now",,"P4"
"checked a question of skin testing, will go to that section of guide",,"P4"
"While residency looking at diagnosis, not about particulars of treatment (dosing)",,"P2, DIM"
"Uses table of contents first",,"P2"
"guide is useful to confirm we are doing the right thing, also says consult an expert",,"P2"
"uses other apps for calculations, sanford guide too",,"P1"
"if type name of drug gives you dosing based on weight or kidney function",,"P1"
"Will ask pharmacist also for help",,"P1"
"Used table of contents to check LTBI case",,"P9"
"Calls nurse consultant at state level if can't find answer with TB physician",,"P9"
"Has multiple other references they check for TB if not in guide",,"P9"
"First time looks at table of contents, flips to interesting things, drug resistance",,"P8"
"Looks for her own reference",,"P8"
"Went online when didn't find answer (UTD)",,"P8"
"Keeps hard copies of patient records and organizes them herself",,"P7"
"software doesn't allow bookmarking of records",,"P7, DIM"
"Old school, likes paper",,"P7"
"protocol gets more complicated so use guide more",,"P7"
"information lives in email threads",,"P5"
"charts are very helpful",,"P5, DIM"
"charts for time frame of treatment, things to help with adherence, etc",,"P5"
"More of a reference to other people than to her",,"P5"
"keeps extra numbers on her phone",,"P6, DI"
"If from hospital ask: What is the dosage for 1kg for patient? Takes picture of book and sends",,"P6, DIM"
"Puts Dr. in search bar and looks for the names, if many doctors puts facility",,"P6"
"look at protocols in yearly basis",,"P3"
"meet on phone or in person and go over protocols, if there are any changes then tell Marcos",,"P3"
"Marcos decides how best to put protocols to have physicians understand",,"P3"
